timestamp,x,y,z
16.247,-9.179999,-50.76,-38.28
16.287,-8.76,-51.18,-37.559998
16.306,-8.4,-50.7,-38.219997
16.346,-8.88,-50.94,-38.52
16.389,-7.5,-51.48,-38.52
16.407,-7.98,-50.64,-38.16
16.447,-8.28,-51.899998,-37.98
16.487,-8.94,-51.239998,-37.98
16.507,-8.7,-51.78,-37.98
16.547,-9.0,-51.36,-38.399998
16.587,-9.0,-51.3,-39.18
16.606,-9.24,-50.579998,-39.12
16.648,-9.059999,-50.52,-38.1
16.688,-8.04,-51.66,-38.28
16.707,-8.94,-50.82,-37.44
16.748,-7.74,-50.7,-38.399998
16.785,-8.16,-51.899998,-37.86
16.807,-8.22,-51.3,-38.94
16.848,-9.36,-51.239998,-38.28
16.887,-8.94,-50.64,-38.52
16.911,-8.94,-50.52,-37.98
16.948,-8.5199995,-50.46,-38.04
16.988,-8.4,-50.76,-38.1
17.008,-8.94,-50.579998,-39.059998
17.046,-8.099999,-51.42,-38.399998
17.086,-8.4,-51.12,-38.52
17.128,-9.24,-50.879997,-37.739998
17.147,-8.639999,-51.12,-38.16
17.187,-8.099999,-51.239998,-38.579998
17.228,-8.76,-51.059998,-38.7
17.248,-8.7,-50.879997,-38.82
17.288,-7.74,-51.18,-38.219997
17.327,-9.059999,-50.879997,-38.04
17.348,-8.28,-50.94,-37.98
17.386,-8.639999,-50.7,-39.239998
17.426,-8.58,-50.76,-38.16
17.446,-7.7999997,-50.879997,-38.28
17.487,-9.059999,-50.82,-39.18
17.526,-8.58,-50.64,-38.64
17.548,-8.5199995,-50.7,-39.239998
17.586,-8.58,-51.36,-37.98
17.625,-9.599999,-50.879997,-38.28
17.645,-8.82,-50.34,-38.04
17.685,-8.5199995,-50.579998,-39.239998
17.728,-8.28,-50.28,-38.16
17.747,-8.16,-50.82,-38.219997
17.794,-7.3799996,-51.96,-39.3
17.827,-8.28,-50.94,-38.34
17.847,-8.16,-51.18,-38.28
17.887,-8.7,-50.879997,-38.76
17.927,-8.5199995,-50.82,-38.16
17.948,-8.639999,-50.76,-37.68
17.987,-9.54,-51.36,-38.76
18.028,-8.7,-50.16,-38.04
18.068,-8.94,-51.48,-38.82
18.087,-8.46,-50.879997,-38.579998
18.127,-7.98,-51.36,-38.46
18.167,-8.5199995,-50.82,-37.98
18.187,-8.76,-51.239998,-37.739998
18.227,-8.28,-51.36,-38.28
18.267,-8.7,-51.719997,-38.579998
18.287,-8.94,-51.66,-38.34
18.328,-8.58,-50.7,-38.219997
18.365,-7.56,-51.48,-38.34
18.391,-8.5199995,-51.239998,-38.04
18.426,-8.58,-51.539997,-37.86
18.466,-8.4,-51.42,-38.82
18.485,-8.099999,-51.719997,-38.52
18.525,-9.96,-50.7,-37.86
18.566,-9.059999,-50.879997,-37.68
18.586,-8.82,-50.64,-37.86
18.625,-8.639999,-50.7,-37.8
18.665,-8.28,-50.7,-38.579998
18.705,-8.5199995,-50.7,-38.16
18.725,-8.04,-51.3,-38.1
18.766,-8.16,-50.82,-38.76
18.806,-7.98,-50.94,-37.92
18.825,-7.8599997,-51.12,-38.94
18.867,-8.94,-50.399998,-38.28
18.907,-8.639999,-51.0,-37.8
18.928,-8.94,-51.059998,-37.739998
18.966,-8.34,-50.82,-38.28
19.007,-7.8599997,-51.48,-37.98
19.028,-8.4,-50.579998,-38.1
19.067,-8.639999,-51.36,-37.98
19.108,-8.16,-51.059998,-38.52
19.127,-7.74,-51.12,-38.879997
19.168,-7.9199996,-50.879997,-38.16
19.207,-8.16,-51.3,-38.52
19.227,-8.04,-50.94,-38.52
19.267,-8.34,-50.76,-38.04
19.306,-8.4,-50.579998,-38.219997
19.327,-7.98,-50.82,-39.059998
19.365,-8.5199995,-50.879997,-38.52
19.406,-8.34,-51.42,-38.52
19.426,-8.4,-51.719997,-38.1
19.465,-8.34,-51.0,-38.34
19.505,-8.7,-51.36,-37.62
19.546,-8.34,-50.879997,-38.1
19.565,-9.0,-51.12,-37.32
19.606,-8.58,-50.64,-37.559998
19.646,-9.0,-51.12,-38.399998
19.665,-7.98,-51.36,-38.219997
19.707,-8.04,-50.7,-37.68
19.747,-8.22,-50.879997,-38.28
19.766,-8.22,-51.18,-38.34
19.806,-8.4,-50.879997,-38.34
19.839,-8.099999,-50.76,-38.7
19.866,-8.5199995,-51.0,-38.82
19.906,-9.179999,-50.219997,-39.0
19.947,-7.44,-51.48,-38.46
19.967,-7.3799996,-50.879997,-38.52
20.008,-9.12,-51.18,-38.219997
20.047,-8.34,-51.78,-38.94
20.066,-8.7,-51.84,-38.64
20.107,-8.34,-50.7,-37.739998
20.148,-8.58,-50.52,-38.76
20.168,-8.46,-50.579998,-38.46
20.206,-8.5199995,-51.12,-38.52
20.248,-8.22,-51.0,-38.7
20.268,-7.7999997,-50.82,-38.82
20.308,-8.5199995,-51.18,-38.7
20.346,-8.099999,-51.539997,-37.739998
20.390,-8.5199995,-50.579998,-38.399998
20.406,-8.28,-51.12,-38.34
20.445,-8.16,-51.0,-38.16
20.486,-8.639999,-50.52,-38.64
20.505,-8.04,-50.94,-37.92
20.545,-8.58,-51.059998,-38.28
20.585,-9.12,-51.239998,-37.92
20.607,-8.58,-51.0,-38.46
20.647,-7.7999997,-50.16,-38.399998
20.688,-8.099999,-51.18,-38.52
20.706,-8.04,-51.239998,-38.1
20.747,-8.22,-51.42,-38.7
20.787,-9.24,-50.579998,-38.64
20.807,-8.5199995,-50.46,-38.579998
20.846,-7.68,-50.7,-38.46
20.886,-8.58,-50.76,-37.98
20.908,-8.28,-50.579998,-37.62
20.948,-8.76,-50.7,-38.04
20.988,-8.58,-50.46,-38.399998
21.008,-9.24,-51.12,-38.28
21.046,-9.0,-50.7,-38.879997
21.085,-8.22,-51.059998,-38.04
21.126,-8.5199995,-50.94,-38.04
21.145,-8.22,-51.42,-38.1
21.185,-7.62,-50.34,-38.28
21.224,-8.46,-50.399998,-38.52
21.244,-8.5199995,-51.0,-38.879997
21.285,-9.48,-51.059998,-37.739998
21.327,-8.099999,-52.14,-37.739998
21.349,-8.4,-52.379997,-37.559998
21.385,-8.04,-52.199997,-37.86
21.425,-8.58,-51.719997,-38.64
21.445,-8.82,-51.3,-38.04
21.485,-8.22,-51.84,-38.399998
21.524,-7.44,-51.66,-37.92
21.545,-7.3199997,-51.539997,-38.04
21.586,-8.7,-51.539997,-37.8
21.626,-9.179999,-50.219997,-38.1
21.646,-8.58,-50.7,-38.82
21.687,-8.639999,-51.42,-38.28
21.727,-8.639999,-50.399998,-37.86
21.747,-8.28,-49.98,-38.399998
21.785,-7.68,-51.66,-38.16
21.824,-8.4,-51.66,-38.52
21.845,-8.16,-50.76,-38.52
21.885,-8.22,-51.12,-38.16
21.929,-8.46,-51.36,-37.92
21.946,-8.7,-50.579998,-37.44
21.987,-8.16,-51.3,-38.16
22.026,-8.4,-51.059998,-38.64
22.047,-8.58,-51.719997,-38.579998
22.087,-8.04,-51.6,-38.579998
22.127,-8.94,-50.879997,-37.739998
22.167,-8.4,-50.579998,-37.86
22.186,-8.46,-51.059998,-38.04
22.227,-9.12,-51.0,-38.28
22.267,-8.7,-51.719997,-38.04
22.287,-8.7,-51.78,-37.739998
22.325,-8.5199995,-50.28,-38.82
22.366,-8.34,-50.64,-38.399998
22.392,-8.639999,-50.64,-38.34
22.424,-8.5199995,-51.059998,-38.52
22.464,-9.42,-50.039997,-37.98
22.485,-8.639999,-50.82,-38.16
22.525,-8.099999,-50.399998,-37.559998
22.565,-8.76,-50.82,-38.94
22.586,-8.58,-51.48,-38.399998
22.626,-8.099999,-50.94,-38.04
22.666,-8.28,-51.42,-36.899998
22.685,-8.46,-51.48,-37.38
22.726,-7.7999997,-51.6,-38.219997
22.766,-8.7,-51.96,-38.04
22.786,-8.28,-51.0,-37.44
22.827,-7.9199996,-51.66,-38.46
22.866,-7.98,-52.02,-38.04
22.887,-8.099999,-51.84,-38.52
22.926,-7.8599997,-51.239998,-38.52
22.966,-8.88,-51.12,-37.92
23.007,-9.0,-50.16,-38.879997
23.026,-9.0,-50.7,-38.399998
23.065,-8.76,-51.239998,-39.42
23.106,-8.76,-50.82,-37.739998
23.126,-8.28,-51.36,-38.34
23.166,-8.94,-50.64,-38.219997
23.206,-8.5199995,-50.879997,-37.739998
23.226,-8.7,-50.34,-38.64
23.266,-8.22,-51.3,-37.86
23.306,-8.4,-50.579998,-38.64
23.327,-8.58,-51.059998,-38.399998
23.366,-8.16,-51.6,-38.219997
23.391,-7.8599997,-51.66,-37.86
23.425,-7.3799996,-50.7,-37.68
23.464,-8.58,-51.059998,-38.16
23.504,-8.76,-50.879997,-38.46
